id,data_inversa,dia_semana,horario,uf,br,km,municipio,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,sentido_via,condicao_metereologica,tipo_pista,tracado_via,uso_solo,pessoas,mortos,feridos_leves,feridos_graves,ilesos,ignorados,feridos,veiculos,latitude,longitude,regional,delegacia,uop
314823,2020-10-14,quarta-feira,17:49:00,MA,10,318,ACAILANDIA,Desobediência às normas de trânsito pelo condutor,Colisão transversal,Com Vítimas Feridas,Anoitecer,Crescente,Céu Claro,Simples,Reta,Sim,3,0,0,1,2,0,1,2,-4.967567,-47.512344,SR-MA,UOP03,DEL04
314913,2020-10-15,quinta-feira,11:25:00,MA,10,251,IMPERATRIZ,Desobediência às normas de trânsito pelo condutor,Colisão transversal,Sem Vítimas,Pleno dia,Decrescente,Céu Claro,Simples,Não Informado,Sim,2,0,0,0,2,0,0,2,-5.543249,-47.464447,SR-MA,UOP01,DEL04
314929,2020-10-15,quinta-feira,13:05:00,MA,316,536.9,CAXIAS,Falta de Atenção à Condução,Colisão transversal,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Simples,Reta,Não,2,0,0,1,1,0,1,2,-4.83767824,-43.4778893,SR-MA,UOP02,DEL03
314930,2020-10-15,quinta-feira,10:45:00,MA,316,222,GOVERNADOR NEWTON BELLO,Defeito na Via,Colisão frontal,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Simples,Reta,Não,3,0,0,1,2,0,1,2,-3.491603,-45.669296,SR-MA,UOP01,DEL02
315000,2020-10-15,quinta-feira,15:30:00,MA,10,142,PORTO FRANCO,Ultrapassagem Indevida,Colisão frontal,Com Vítimas Fatais,Pleno dia,Crescente,Céu Claro,Simples,Desvio Temporário,Não,3,1,2,0,0,0,2,2,-6.477829,-47.392159,SR-MA,UOP02,DEL04
315010,2020-10-15,quinta-feira,16:10:00,MA,222,655,ACAILANDIA,Falta de Atenção à Condução,Saída de leito carroçável,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Simples,Curva,Não,3,0,3,0,0,0,3,1,-4.85085537,-47.30972679,SR-MA,UOP03,DEL04
315011,2020-10-15,quinta-feira,17:10:00,MA,222,679,ACAILANDIA,Desobediência às normas de trânsito pelo condutor,Colisão lateral,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Simples,Reta,Sim,4,0,1,0,1,2,1,2,-4.95619372,-47.49234711,SR-MA,UOP03,DEL04
315019,2020-10-15,quinta-feira,18:15:00,MA,135,187,SAO MATEUS DO MARANHAO,Falta de Atenção à Condução,Colisão frontal,Com Vítimas Fatais,Anoitecer,Crescente,Céu Claro,Simples,Reta,Não,5,1,1,0,3,0,1,2,-4.08230598,-44.47335553,SR-MA,UOP01,DEL03
315086,2020-10-16,sexta-feira,11:00:00,MA,316,285.9,BELA VISTA DO MARANHAO,Defeito na Via,Tombamento,Com Vítimas Feridas,Pleno dia,Decrescente,Sol,Simples,Reta,Não,1,0,1,0,0,0,1,1,-3.782178,-45.215691,SR-MA,UOP01,DEL02
315101,2020-10-16,sexta-feira,10:45:00,MA,135,55,BACABEIRA,Defeito na Via,Capotamento,Com Vítimas Feridas,Pleno dia,Crescente,Sol,Simples,Reta,Não,3,0,2,0,1,0,2,1,-3.00723897,-44.31418329,SR-MA,UOP02,DEL01
315120,2020-10-16,sexta-feira,07:30:00,MA,222,670,ACAILANDIA,Mal Súbito,Saída de leito carroçável,Sem Vítimas,Pleno dia,Decrescente,Céu Claro,Simples,Reta,Sim,2,0,0,0,0,2,0,1,-4.93321372,-47.45169379,SR-MA,UOP03,DEL04
315159,2020-10-16,sexta-feira,11:30:00,MA,226,189,GRACA ARANHA,Falta de Atenção à Condução,Colisão lateral,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Simples,Reta,Não,4,0,1,2,1,0,3,2,-5.30251322,-44.37491914,SR-MA,UOP02,DEL03
315213,2020-10-16,sexta-feira,17:00:00,MA,10,376,ITINGA DO MARANHAO,Falta de Atenção à Condução,Colisão transversal,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Simples,Reta,Sim,2,0,1,0,1,0,1,2,-4.464304,-47.521744,SR-MA,UOP03,DEL04
315227,2020-10-16,sexta-feira,19:45:00,MA,316,565,CAXIAS,Falta de Atenção à Condução,Colisão frontal,Com Vítimas Feridas,Plena Noite,Crescente,Céu Claro,Simples,Reta,Não,3,0,2,0,1,0,2,2,-4.904245,-43.24197,SR-MA,UOP02,DEL03
315283,2020-10-17,sábado,08:00:00,MA,135,40.8,BACABEIRA,Animais na Pista,Capotamento,Com Vítimas Feridas,Pleno dia,Decrescente,Nublado,Simples,Reta,Não,1,0,1,0,0,0,1,1,-2.89825799,-44.36896741,SR-MA,UOP01,DEL01
315333,2020-10-17,sábado,14:25:00,MA,222,671,ACAILANDIA,Ultrapassagem Indevida,Colisão transversal,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Simples,Reta,Sim,2,0,1,0,1,0,1,2,-4.92058223,-47.43051387,SR-MA,UOP03,DEL04
315420,2020-10-17,sábado,21:50:00,MA,316,538.1,CAXIAS,Condutor Dormindo,Colisão traseira,Com Vítimas Fatais,Plena Noite,Decrescente,Céu Claro,Simples,Desvio Temporário,Não,2,1,0,0,1,0,0,2,-4.845354,-43.460888,SR-MA,UOP02,DEL03
315544,2020-10-18,domingo,10:30:00,MA,135,7.8,SAO LUIS,Falta de Atenção à Condução,Colisão transversal,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Dupla,Reta,Sim,4,0,2,0,2,0,2,2,-2.63608835,-44.26848552,SR-MA,UOP01,DEL01
315698,2020-10-19,segunda-feira,07:40:00,MA,135,7.5,SAO LUIS,Falta de Atenção à Condução,Colisão transversal,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Dupla,Não Informado,Sim,3,0,2,0,1,0,2,2,-2.63608835,-44.26848552,SR-MA,UOP01,DEL01
315715,2020-10-18,domingo,18:00:00,MA,230,306,SAO RAIMUNDO DAS MANGABEIRAS,Falta de Atenção à Condução,Colisão frontal,Com Vítimas Fatais,Anoitecer,Decrescente,Céu Claro,Simples,Não Informado,Não,5,3,1,1,0,0,2,2,-6.98829525,-45.41292374,SR-MA,UOP01,DEL05
315839,2020-10-19,segunda-feira,18:40:00,MA,316,479,CODO,Falta de Atenção à Condução,Colisão lateral,Com Vítimas Feridas,Anoitecer,Crescente,Céu Claro,Simples,Reta,Não,2,0,0,1,1,0,1,2,-4.620735,-43.921387,SR-MA,UOP02,DEL03
315860,2020-10-11,domingo,14:15:00,MA,316,216.6,GOVERNADOR NEWTON BELLO,Falta de Atenção do Pedestre,Atropelamento de Pedestre,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Simples,Reta,Sim,2,0,0,1,1,0,1,1,-3.439641,-45.67065,SR-MA,UOP01,DEL02
315892,2020-10-20,terça-feira,08:00:00,MA,135,5,SAO LUIS,Não guardar distância de segurança,Colisão traseira,Sem Vítimas,Pleno dia,Decrescente,Sol,Dupla,Reta,Sim,4,0,0,0,4,0,0,4,-2.62145385,-44.25797421,SR-MA,UOP01,DEL01
315902,2020-10-20,terça-feira,10:10:00,MA,222,672,ACAILANDIA,Não guardar distância de segurança,Engavetamento,Sem Vítimas,Pleno dia,Crescente,Céu Claro,Simples,Reta,Sim,3,0,0,0,3,0,0,3,-4.92508085,-47.43821808,SR-MA,UOP03,DEL04
315979,2020-10-20,terça-feira,14:30:00,MA,135,44,BACABEIRA,Falta de Atenção à Condução,Colisão lateral,Com Vítimas Feridas,Pleno dia,Decrescente,Sol,Dupla,Reta,Sim,2,0,0,1,0,1,1,2,-2.92221,-44.34139,SR-MA,UOP01,DEL01
315996,2020-10-20,terça-feira,17:20:00,MA,222,672,ACAILANDIA,Pista Escorregadia,Colisão traseira,Sem Vítimas,Pleno dia,Crescente,Chuva,Simples,Desvio Temporário,Sim,2,0,0,0,2,0,0,2,-4.92508085,-47.43821808,SR-MA,UOP03,DEL04
316268,2020-10-22,quinta-feira,07:05:00,MA,222,672,ACAILANDIA,Falta de Atenção à Condução,Colisão lateral,Sem Vítimas,Pleno dia,Decrescente,Céu Claro,Simples,Interseção de vias,Sim,3,0,0,0,3,0,0,3,-4.92508085,-47.43821808,SR-MA,UOP03,DEL04
316571,2020-10-23,sexta-feira,11:40:00,MA,10,268.5,IMPERATRIZ,Ultrapassagem Indevida,Colisão frontal,Com Vítimas Feridas,Pleno dia,Crescente,Sol,Simples,Reta,Não,5,0,3,1,1,0,4,4,-5.391136,-47.473698,SR-MA,UOP01,DEL04
316613,2020-10-23,sexta-feira,18:15:00,MA,10,299,SAO FRANCISCO DO BREJAO,Velocidade Incompatível,Colisão traseira,Com Vítimas Feridas,Anoitecer,Decrescente,Céu Claro,Simples,Reta,Não,2,0,0,1,1,0,1,2,-5.122542,-47.547592,SR-MA,UOP03,DEL04
316616,2020-10-23,sexta-feira,09:00:00,MA,10,253,IMPERATRIZ,Falta de Atenção à Condução,Tombamento,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Simples,Reta,Sim,1,0,1,0,0,0,1,1,-5.526911,-47.471455,SR-MA,UOP01,DEL04
316651,2020-10-24,sábado,03:05:00,MA,135,11,SAO LUIS,Condutor Dormindo,Queda de ocupante de veículo,Com Vítimas Feridas,Plena Noite,Crescente,Céu Claro,Dupla,Reta,Sim,1,0,1,0,0,0,1,1,-2.66470782,-44.28673431,SR-MA,UOP01,DEL01
316806,2020-10-24,sábado,16:40:00,MA,316,181.3,ZE DOCA,Ingestão de Álcool,Colisão lateral,Sem Vítimas,Pleno dia,Decrescente,Céu Claro,Simples,Reta,Não,2,0,0,0,2,0,0,2,-3.124728,-45.643089,SR-MA,UOP02,DEL02
316895,2020-10-24,sábado,22:15:00,MA,316,615.3,TIMON,Restrição de Visibilidade,Colisão frontal,Com Vítimas Fatais,Plena Noite,Crescente,Chuva,Simples,Reta,Sim,2,1,0,0,0,1,0,2,-5.08121938,-42.84170151,SR-MA,UOP02,DEL03
316929,2020-10-24,sábado,21:00:00,MA,135,363,SAO DOMINGOS DO MARANHAO,Desobediência às normas de trânsito pelo condutor,Colisão lateral,Sem Vítimas,Plena Noite,Crescente,Céu Claro,Simples,Reta,Não,2,0,0,0,2,0,0,2,-5.49200395,-44.45071675,SR-MA,UOP01,DEL03
316936,2020-10-25,domingo,06:00:00,MA,135,12,SAO LUIS,Condutor Dormindo,Capotamento,Com Vítimas Feridas,Amanhecer,Crescente,Céu Claro,Dupla,Reta,Sim,2,0,1,0,1,0,1,2,-2.67223553,-44.29173767,SR-MA,UOP01,DEL01
316955,2020-10-24,sábado,19:50:00,MA,10,250,IMPERATRIZ,Falta de Atenção à Condução,Colisão lateral,Sem Vítimas,Plena Noite,Crescente,Céu Claro,Simples,Interseção de vias,Sim,5,0,0,0,4,1,0,2,-5.550874,-47.459305,SR-MA,UOP01,DEL04
317260,2020-10-03,sábado,14:50:00,MA,135,98,ITAPECURU MIRIM,Desobediência às normas de trânsito pelo condutor,Tombamento,Com Vítimas Fatais,Pleno dia,Crescente,Céu Claro,Simples,Reta,Não,2,1,0,0,0,1,0,2,-3.348353,-44.46035,SR-MA,UOP02,DEL01
317311,2020-10-26,segunda-feira,14:30:00,MA,10,142.6,PORTO FRANCO,Condutor Dormindo,Saída de leito carroçável,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Simples,Reta,Não,1,0,1,0,0,0,1,1,-6.477829,-47.392159,SR-MA,UOP02,DEL04
317346,2020-10-26,segunda-feira,17:15:00,MA,222,289.3,VITORIA DO MEARIM,Avarias e/ou desgaste excessivo no pneu,Saída de leito carroçável,Com Vítimas Fatais,Pleno dia,Crescente,Céu Claro,Simples,Reta,Não,10,2,4,4,0,0,8,1,-3.45086892,-44.84786102,SR-MA,UOP01,DEL02
317353,2020-10-26,segunda-feira,21:00:00,MA,135,164,SAO MATEUS DO MARANHAO,Falta de Atenção à Condução,Saída de leito carroçável,Sem Vítimas,Plena Noite,Crescente,Céu Claro,Simples,Reta,Não,1,0,0,0,1,0,0,1,-3.88001889,-44.49146376,SR-MA,UOP02,DEL01
